last_edited_date,taxonomic_order,category,common_name,scientific_name,subspecies_common_name,subspecies_scientific_name,observation_count,breeding_bird_atlas_code,breeding_bird_atlas_category,age_sex,country,country_code,state,state_code,county,county_code,iba_code,bcr_code,usfws_code,atlas_block,locality,locality_id,locality_type,latitude,longitude,observation_date,time_observations_started,observer_id,sampling_event_identifier,protocol_type,protocol_code,project_code,duration_minutes,effort_distance_km,effort_area_ha,number_observers,all_species_reported,group_identifier,has_media,approved,reviewed,reason,trip_comments,FiF,Dir,Mig,species_comments,near_ocean
35:34.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,16,,,,United States,US,California,US-CA,Monterey,US-CA-053,,NA,,,"Pt. Pinos--general (main list for Crespi, seawatch, cypresses etc)",L374642,H,36.6368817,-121.933549,5/6/16,9:35:00,obsr107968,S29440259,Traveling,P22,EBIRD,20,0.402,NA,1,1,,0,1,0,,"overcast, calm, fairly mild; mid-tide, sea with slight chop, some low fog over sea",1,C,1,"single flock circling the Point, migrants on the move to somewhere",TRUE
34:20.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,11,,,Unknown Sex and Age (11),United States,US,Alaska,US-AK,Sitka,US-AK-220,,NA,,,Sitka--Halibut Point SRS,L163669,H,57.102207,-135.40257,1/4/15,8:30:00,obsr417091,S21203599,Traveling,P22,EBIRD,260,11.909,NA,1,1,,0,1,0,,"Christmas Bird Count. Skies were Mostly Sunny, Winds 7 to 10 MPH from NE. Temp 29 to 33 Deg. Tide on the rise, high tide at 11:49 am 11.2.",1,C,NA,Nine were spotted as they circled the park. other two spotted on telephone wires.,TRUE
15:42.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,22,,,,United States,US,California,US-CA,Santa Cruz,US-CA-087,,32,,,Capitola Beach,L693293,P,36.9714525,-121.9512141,8/22/13,7:09:00,obsr90708,S15015466,Traveling,P22,EBIRD,20,0.161,NA,1,1,,0,1,0,,"100% stratus, calm",1,E,NA,"flying over in flocks, heading E",TRUE
48:46.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,19,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,32,,,Don Edwards SF Bay NWR Visitor Center,L1740268,P,37.5323439,-122.0717385,1/30/17,7:40:00,obsr333259,S34046802,Stationary,P21,EBIRD,20,NA,NA,1,1,,0,1,0,,,1,N,1,Migrants. Nine departed to the north.,TRUE
07:48.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,45,,,,United States,US,California,US-CA,San Francisco,US-CA-075,,NA,,,Presidio--Battery Godfrey,L999240,H,37.8037613,-122.4774715,4/7/14,7:05:00,obsr131078,S17797750,Stationary,P21,EBIRD,400,NA,NA,1,1,,0,1,1,,"clear skies, variable light wind but tending to be E/NE, changing to N/NW toward end of watch, warm, max temp 76oF, stayed within a roughly 100 foot radius area, first decent push of spring migrants I have noted in SF this year",1,N,1,"groups of 28, 17 flying north and crossing gate. these large seemingly migrating groups of EUCD seem to be a fairly recent phenomenon at this migrant watch spot",TRUE
53:09.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,26,,,,United States,US,Washington,US-WA,Kitsap,US-WA-035,,NA,,,Bainbridge Island - Fay Bainbridge SP,L888658,P,47.7019064,-122.5112915,4/23/12,7:40:00,obsr4520,S10531915,Area,P23,EBIRD,120,NA,10.1171,1,1,,0,1,0,,"Migrant watch - mostly from beach areas. Impressive movement of birds - first major push of season. Mostly sunny, light high clouds, n wind 5+ , 55 degrees.",1,N,1,Flying north as with other migrants - multiple small flocks,TRUE
36:06.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,125,,,,United States,US,Washington,US-WA,Kitsap,US-WA-035,,NA,,,Point No Point,L109542,H,47.9118696,-122.5283182,4/22/17,8:02:00,obsr4520,S36175341,Stationary,P21,EBIRD,229,NA,NA,1,1,,1,1,1,,"Migration watch only at lighthouse area. Very busy morning with not only a big movement of YRWA's but also some interesting birds especially prior and during start of brisk wind and rain moving in. Partly to mostly cloudy to start with calm winds becoming light from south. Lull in action had me ready to complete a bit after 10 but quick stop in and visit by a WEKI prompted additional watch time. At about 11, wind picked up to 15+ and rain started and birds like YRWA's actually started to land rather than fly on. Temps starting in upper 40's to start and 53 at completion.",1,N,1,Several Large flocks in area at different times and then viewed moving over water to the north. Now one of the more common migrants at PNP at this time of year.,TRUE
36:13.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,85,,,,United States,US,Washington,US-WA,Kitsap,US-WA-035,,NA,,,Fay Bainbridge State Park,L387534,H,47.7032927,-122.5071716,4/22/18,7:23:00,obsr4520,S44827991,Stationary,P21,EBIRD,166,NA,NA,1,1,,1,1,1,,"Migrant watch from Driftwood/grass/beach spot a bit east of covered area structure. Good migrant push this morning topped by YRWA's, EUCD's, all expected swallows, and BHCO's.  North wind light to start increasing to 10+, partly cloudy, and temps in 40’s. Strong north winds had migrants down low so birds were just above me in their northward push.",1,N,1,10 plus flocks averaging 8 birds and a few in the area hanging around calling. Not surprising to get such numbers on a morning when there is an obvious good northward push.,TRUE
35:34.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,120,,,,United States,US,California,US-CA,Monterey,US-CA-053,,NA,,,"Pt. Pinos--general (main list for Crespi, seawatch, cypresses etc)",L374642,H,36.6368817,-121.933549,4/4/17,9:00:00,obsr107968,S35693747,Stationary,P21,EBIRD,10,NA,NA,1,1,,0,1,1,,"sunny, warm, calm; looking at Crespi and beach across from Crespi",1,N,NA,"a huge flock, coming from the forest of P.G. and heading north, then circling over Crespi and trees when they hit the coast, breaking up into smaller flocks at that point (some seen later at sea-watch). Counted by 10s in flight",TRUE
19:09.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,67,,,,United States,US,California,US-CA,San Francisco,US-CA-075,,NA,,,Presidio--Battery Godfrey,L999240,H,37.8037613,-122.4774715,3/12/14,6:55:00,obsr131078,S17413937,Stationary,P21,EBIRD,120,NA,NA,3,1,G827219,0,1,1,,"Starting before sunrise a (mostly) stationary watch from top of battery, moving only a few times less than 30 feet to see birds over or on the water of the GG channel. Steady e/ne winds 10-15 mph, at times gusting to over 25mph. Clear skies excellent visibility",1,N,NA,"Groups of 7,35,8,5,12 most appeared to fly north crossing gate, possibly missed some",TRUE
