,global_unique_identifier,last_edited_date,taxonomic_order,category,common_name,scientific_name,subspecies_common_name,subspecies_scientific_name,observation_count,breeding_bird_atlas_code,breeding_bird_atlas_category,age_sex,country,country_code,state,state_code,county,county_code,iba_code,bcr_code,usfws_code,atlas_block,locality,locality_id,locality_type,latitude,longitude,observation_date,time_observations_started,observer_id,sampling_event_identifier,protocol_type,protocol_code,project_code,duration_minutes,effort_distance_km,effort_area_ha,number_observers,all_species_reported,group_identifier,has_media,approved,reviewed,reason,trip_comments,species_comments,v47,pelagic,legit,duplicate
527,URN:CornellLabOfOrnithology:EBIRD:OBS116347226,20:48.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Del Norte,US-CA-015,,NA,,,2011-04-22-offshoresurvey-leg7,L1148045,P,41.657985,-125.04615,2011-04-22,8:20:00,obsr18326,S8122120,Traveling,P22,EBIRD,20,12.07,NA,4,1,G253449,0,1,0,,"second full day offshore, quite slow overall especially compared to the first day, though early on there were plenty of Leach's, no pterodromas, I had two groups of Parakeet Auklets that no one else was able to get on, 2 EUCD landed on the ship, 2 Fin Whales. repositioning cruise bulk upload of 20-min surveys, location plotted is midpoint of transect",joined the first with both flying around and landing on the ship!,NA,TRUE,1,1
520,URN:CornellLabOfOrnithology:EBIRD:OBS319526557,51:45.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,Washington,US-WA,Clallam,US-WA-009,US-WA_3348,NA,,,Pacific Ocean off Clallam County,L3642369,P,47.9712935,-125.0962114,2015-05-08,,obsr23008,S23437069,Historical,P62,EBIRD,NA,NA,NA,20,1,,0,1,0,,Birds seen from MV Noordam,,NA,TRUE,1,1
515,URN:CornellLabOfOrnithology:EBIRD:OBS398630817,16:26.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,7,,,,United States,US,Oregon,US-OR,Curry,US-OR-015,,NA,,,"42.4x-124.965 - May 5, 2016 12:29 PM",L4565054,P,42.4003773,-124.9651162,2016-05-03,11:30:00,obsr296388,S29423398,eBird Pelagic Protocol,P60,EBIRD,32,15.289,NA,1,1,,0,1,0,,Birding from the Norwegian Pearl.Â <br />Submitted from eBird Android 1.0.4,,NA,TRUE,1,1
474,URN:CornellLabOfOrnithology:EBIRD:OBS400403501,05:32.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,San Francisco,US-CA-075,US-CA_4680,NA,,,Offshore--continental shelf waters (southern SF Co.),L2365653,H,37.5148275,-122.8446579,2016-05-03,12:30:00,obsr323293,S29523888,Traveling,P22,EBIRD,150,32.187,NA,2,1,,0,1,0,,"Wings birding tour on cruise ship San Diego to Vancouver, BC.",,NA,TRUE,1,1
531,URN:CornellLabOfOrnithology:EBIRD:OBS398817166,47:39.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Monterey,US-CA-053,,NA,,,"35.7941x-122.1718 - May 4, 2016, 5:57 AM",L4566883,P,35.794081,-122.171814,2016-05-04,5:57:00,obsr19105,S29435091,Traveling,P22,EBIRD,32,16.093,NA,11,1,G1740074,0,1,1,,"<br />Submitted from eBird for iOS, version 1.1.6 Build 45",Photo,NA,TRUE,1,1
865,URN:CornellLabOfOrnithology:EBIRD:OBS398850644,38:19.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Sonoma,US-CA-097,,NA,,,"38.2723x-124.0544 - May 4, 2016, 2:57 PM",L4567161,P,38.272293,-124.054433,2016-05-04,14:57:00,obsr19105,S29437143,Traveling,P22,EBIRD,30,16.093,NA,15,1,G1740100,0,1,0,,"<br />Submitted from eBird for iOS, version 1.1.6 Build 45","Still present; found on board at dawn in Monterey County, riding the boat.",NA,TRUE,1,1
528,URN:CornellLabOfOrnithology:EBIRD:OBS406917854,10:21.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,3,,,,United States,US,California,US-CA,Humboldt,US-CA-023,,NA,,,Offshore California Hour 2 of 3,L4637450,P,41.34044,-125.47451,2016-05-12,7:00:00,obsr131591,S29890053,eBird Pelagic Protocol,P60,EBIRD,60,39.429,NA,2,1,G1783562,0,1,0,,"Princess Cruise San Francisco to Alaska round trip, Day 2 northbound. Wind SW 6 kt; Overcast, Air temp 55F; SST 53.6F; Swell 3-5 ft NW.  Paul Lehman (with 9-person Wings tour group) and Bruce Rideout observers. MUPE seen first by Paul Lehman, then by Bruce Rideout and others in the group. An all-dark petrel with long narrow wings cocked forward at the carpi, long glides and steep arcs. Although they can have pale primary bases below, I could not discern any paleness on the underwing. The time was 07:35 and the coordinates 41.52209, -125.58444.",,NA,TRUE,1,1
516,URN:CornellLabOfOrnithology:EBIRD:OBS402235865,08:46.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,2,,,,United States,US,Oregon,US-OR,Curry,US-OR-015,,NA,,,offshore Curry,L4593863,P,41.845,-125.8,2016-05-12,8:00:00,obsr50748,S29624639,Traveling,P22,EBIRD,30,16.093,NA,11,0,,0,1,0,,"123-138 km off Curry Co., from Grand Princess cruise ship",,NA,TRUE,1,1
866,URN:CornellLabOfOrnithology:EBIRD:OBS406917859,32:14.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,3,,,,United States,US,Oregon,US-OR,Coos,US-OR-011,,NA,,,Offshore Oregon Hour 8 of 10,L4637452,P,44.02748,-127.14801,2016-05-12,15:20:00,obsr131591,S29890054,eBird Pelagic Protocol,P60,EBIRD,60,40.234,NA,2,1,G1783552,0,1,0,,"Princess Cruise San Francisco to Alaska round trip, Day 2 northbound. Wind SW 6 kt; Overcast, Air temp 55F; SST 53.6F; Swell 3-5 ft NW.  Paul Lehman (with 9-person Wings tour group) and Bruce Rideout observers. The three Eurasian Collared-Doves were the same individuals seen earlier in the day. They presumably got on board in San Francisco and will stay with the ship at least until our first port, Juneau.",,NA,TRUE,1,1
524,URN:CornellLabOfOrnithology:EBIRD:OBS406923741,31:15.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,2,,,,Canada,CA,British Columbia,CA-BC,Mount Waddington,CA-BC-MW,,NA,,,Offshore British Columbia Hour 4 of 14,L4637519,P,49.75687,-130.8548,2016-05-13,9:00:00,obsr131591,S29890460,eBird Pelagic Protocol,P60,EBIRD,60,38.624,NA,2,1,G1783543,0,1,0,,"Princess Cruise San Francisco to Alaska round trip Day 3 northbound. Overcast until clearing mid-afternoon. Air temp 50-60F; SST 55.4F; Swell NW 1-3 ft.; Wind 7-10 kt SW, dropping later in the day. Paul Lehman (with 9-person Wings tour group) and Bruce Rideout observers.",,NA,TRUE,1,1
483,URN:CornellLabOfOrnithology:EBIRD:OBS505204980,03:35.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,2,,,,United States,US,California,US-CA,San Mateo,US-CA-081,,NA,,,Offshore CA,L5893393,P,37.0716667,-123.125,2017-05-11,10:00:00,obsr193047,S37186868,Traveling,P22,EBIRD,60,34.44,NA,1,1,,0,1,0,,,Continuing birds flying with and landing on the ship,NA,TRUE,1,1
476,URN:CornellLabOfOrnithology:EBIRD:OBS505209338,10:59.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,2,,,,United States,US,California,US-CA,San Francisco,US-CA-075,,NA,,,Offshore CA,L5893471,P,37.335,-123.33,2017-05-11,11:00:00,obsr193047,S37187104,Traveling,P22,EBIRD,30,17.703,NA,1,1,,0,1,0,,,Continuing birds flying with ship,NA,TRUE,1,1
533,URN:CornellLabOfOrnithology:EBIRD:OBS510101830,55:31.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Orange,US-CA-059,US-CA_4685,NA,,,Lausen Sea Mount,L5803436,H,33.3974106,-118.0006099,2017-06-10,9:30:00,obsr158843,S37519618,Traveling,P22,EBIRD,90,12.875,NA,46,1,G2485531,0,1,0,,"San Bernardino Valley Audubon pelagic trip out of Dana Point aboard the Ocean Institute's R/V Sea Explorer, with Mike Bursk as Captain and Tom Benson, Jon Feenstra, Matt Grube, Robert McNab, and Brad Singer as leaders. From Dana Point Harbor, we traveled west to Lausen Sea Mount, north-northwest to Platforms Eureka, Ellen, and Edith, east and south to San Gabriel Canyon, east toward Laguna Beach, and finally southeast along the 100-fathom curve back to Dana Point Harbor, with minor variations in course for birds and ocean conditions. Weather was mostly cloudy but becoming partly cloudy midday, with light to moderate winds, and temperatures in the 60s (F). This checklist covers the area from Lausen Sea Mount to the halfway point to Platform Eureka, and includes several one mile transects along a chum and oil slick that we laid out over the sea mount.----<a href=""https://www.flickr.com/photos/40928097@N07/34484869073/in/dateposted-public/"" title=""Pelagic trip track - 10 Jun 2017""><img src=""https://c1.staticflickr.com/5/4278/34484869073_e106e2f848_z.jpg"" alt=""Pelagic trip track - 10 Jun 2017"" /></a>",Continuing bird that landed on the boat; it departed when we were about halfway from the sea mount to the oil platforms.,NA,TRUE,1,1
